order_id,customer_state,distance_km,seller_delay_d,freight_value,order_value
727,RS,168.9,0,24.39,177.37
728,MG,528.0,5,4.56,178.23
729,BA,265.0,0,17.41,111.55
730,BA,382.4,2,15.76,75.09
731,MG,218.8,1,31.41,66.83
732,MG,359.0,0,44.75,129.57
733,RS,250.0,2,7.64,103.92
734,RJ,486.7,2,22.14,280.25
735,RS,133.9,2,5.48,46.34
736,BA,97.9,3,10.39,44.55
737,SP,319.7,1,5.09,341.34
738,RS,50.6,0,3.97,140.26
739,RJ,312.8,1,18.58,134.46
740,SP,441.1,1,15.48,55.59
741,RJ,315.4,0,1.24,130.98
742,SP,260.9,2,17.04,160.69
743,RJ,344.9,0,10.23,73.94
744,SP,259.3,1,22.58,224.48
745,MG,82.5,3,9.33,365.51
746,RS,224.0,2,31.7,300.52
747,RS,129.8,2,15.43,257.56
748,RS,534.0,1,14.14,116.49
749,RJ,366.0,2,8.73,137.62
750,RJ,217.9,2,12.34,145.85
751,BA,292.8,1,43.76,54.57
752,RS,199.7,1,5.35,91.77
753,RS,514.4,1,2.65,51.14
754,RJ,139.3,3,9.8,58.59
755,BA,668.7,1,21.31,255.27
756,MG,449.1,1,32.45,87.23
757,MG,120.8,2,24.46,44.38
758,MG,185.1,2,8.82,44.96
759,MG,280.6,0,0.22,130.86
760,RS,326.9,3,7.58,45.7
761,BA,433.5,4,7.46,59.55
762,SP,183.0,3,3.87,245.83
763,BA,132.6,1,7.63,148.5
764,RJ,237.9,1,24.95,36.1
765,RJ,136.2,2,3.91,35.24
766,MG,182.1,1,12.73,176.71
767,RS,109.1,0,11.34,225.19
768,SP,774.0,2,4.74,222.76
769,MG,356.0,2,11.74,172.63
770,RJ,228.0,0,40.19,113.2
771,RS,360.8,1,26.46,160.73
772,MG,237.0,0,86.12,248.38
773,RS,157.4,1,38.2,74.29
774,RS,324.9,0,17.9,110.58
775,SP,100.0,2,35.4,159.92
776,BA,144.2,1,13.18,386.06
777,BA,408.8,1,16.7,137.27
778,RS,260.9,2,6.96,153.23
779,RS,377.6,1,19.56,264.46
780,BA,288.2,3,18.47,37.79
781,RS,95.8,5,5.23,242.54
782,BA,180.2,1,14.83,73.14
783,RJ,428.0,1,9.37,195.42
784,RS,221.2,1,43.15,148.34
785,BA,379.5,0,3.71,197.57
786,BA,246.3,1,0.57,148.64
787,RS,104.7,2,17.3,96.99
788,BA,398.0,2,22.91,233.68
789,RJ,195.0,1,22.97,181.05
790,RJ,60.2,2,12.27,89.79
791,RJ,549.8,2,17.42,42.31
792,SP,216.3,1,15.17,85.34
793,SP,164.0,1,18.69,193.99
794,BA,181.8,2,20.7,93.16
795,BA,282.4,0,26.59,75.75
796,SP,57.0,3,11.02,92.11
797,RJ,183.3,1,1.96,491.93
798,RS,37.3,1,9.53,56.58
799,RS,404.5,1,23.43,107.21
800,MG,245.2,0,20.92,54.33
801,RS,399.2,2,10.55,41.46
802,RJ,577.5,0,65.9,30.15
803,RS,155.1,0,12.24,296.54
804,RS,25.0,3,12.91,201.58
805,MG,408.6,1,5.5,89.39
806,SP,133.0,1,2.8,71.59
807,RJ,46.0,1,23.72,60.75
808,MG,315.9,2,22.62,55.22
809,RJ,137.6,0,1.66,82.78
810,SP,617.8,1,39.57,47.82
811,SP,355.7,4,21.99,252.33
812,RS,48.9,2,9.46,149.7
813,RJ,238.5,2,29.01,168.75
814,MG,158.1,3,7.52,86.74
815,MG,369.5,0,23.95,107.82
816,RS,202.6,1,10.91,103.62
817,SP,468.2,2,6.58,38.37
818,RJ,345.1,0,17.08,88.86
819,MG,752.8,1,7.21,140.8
820,RS,314.7,1,28.21,49.17
821,MG,158.7,3,14.24,143.2
822,BA,228.3,3,8.09,153.01
823,RS,140.5,1,11.45,46.74
824,BA,110.4,4,43.28,248.06
825,RS,268.6,0,16.22,165.18
826,RS,324.8,0,9.99,13.16
827,RJ,192.9,2,6.03,49.12
828,MG,244.5,3,23.82,290.82
829,RJ,119.9,0,20.65,69.82
830,MG,153.0,2,5.61,165.35
831,SP,172.9,1,4.85,56.89
832,BA,56.2,1,11.97,122.46
833,RJ,160.3,1,5.52,75.63
834,RS,107.3,1,3.08,74.72
835,BA,178.2,1,18.1,158.57
836,RJ,45.4,0,5.04,75.98
837,MG,294.3,1,6.54,129.09
838,BA,460.1,2,23.54,123.19
839,MG,209.4,0,11.96,170.76
840,RJ,299.8,0,22.71,80.41
841,SP,239.2,2,9.0,24.61
842,MG,351.9,3,3.94,63.67
843,MG,233.6,2,28.28,92.37
844,BA,74.0,1,19.96,243.45
845,SP,577.3,0,11.3,221.49
846,SP,69.9,1,19.88,80.23
847,BA,320.9,0,20.32,268.95
848,BA,363.7,0,3.2,22.38
849,BA,88.1,2,3.72,34.98
850,SP,170.3,2,23.12,197.13
851,BA,184.1,2,11.07,102.32
852,RS,241.8,0,12.84,94.35
853,BA,358.1,1,28.93,74.27
854,MG,88.8,1,6.93,129.85
855,MG,199.3,1,9.11,98.5
856,MG,378.5,3,24.36,29.56
857,SP,397.5,0,13.94,103.34
858,BA,412.4,3,14.02,70.01
859,MG,362.8,0,2.95,99.94
860,MG,195.3,0,28.87,132.84
861,RS,110.4,0,31.67,32.01
862,BA,427.4,0,10.5,227.5
863,RS,208.2,4,41.35,222.07
864,SP,350.3,1,19.92,235.09
865,RS,115.3,1,5.2,15.22
866,MG,66.3,3,5.72,217.65
867,MG,289.0,2,14.35,148.44
868,MG,534.4,2,19.27,52.52
869,SP,160.3,3,44.03,48.77
870,RS,89.8,0,14.72,107.72
871,BA,303.3,1,14.6,210.45
872,SP,287.9,0,23.3,131.75
873,RS,161.3,1,14.11,181.75
874,MG,78.6,2,17.88,158.09
875,SP,518.1,1,28.31,99.29
876,BA,172.5,1,8.28,94.59
877,SP,494.9,0,9.54,118.45
878,MG,76.8,1,69.03,71.8
879,BA,268.9,0,9.33,209.92
880,SP,131.8,2,29.24,240.78
881,BA,192.5,1,6.36,108.5
882,MG,301.3,0,2.8,87.17
883,RJ,188.1,4,34.87,90.08
884,RJ,346.2,4,4.2,173.03
885,SP,266.3,2,52.01,64.18
886,SP,140.2,3,12.87,284.31
887,RJ,89.2,2,3.65,133.17
888,RS,118.3,0,20.56,71.12
889,MG,368.9,1,15.58,173.22
890,SP,106.0,1,26.78,196.81
891,BA,45.9,6,4.79,133.58
892,MG,355.5,0,6.53,105.87
893,RS,405.0,1,6.31,134.52
894,BA,94.3,3,7.6,134.45
895,RS,325.6,0,12.61,105.0
896,BA,145.8,2,23.51,79.87
897,SP,102.2,1,9.01,97.35
898,MG,305.7,1,7.96,132.08
899,MG,109.3,3,8.57,221.18
900,RS,322.2,0,39.0,271.58
901,SP,209.9,5,16.55,227.73
902,MG,94.6,3,25.16,294.13
903,RS,389.3,3,5.47,79.92
904,BA,138.4,1,32.48,202.53
905,SP,181.4,3,12.41,153.29
906,RS,317.1,2,8.8,171.77
907,RJ,434.6,2,18.24,58.61
908,BA,159.6,0,15.61,113.3
909,BA,225.0,0,4.4,149.33
910,BA,119.0,1,33.02,81.63
911,MG,70.8,1,1.97,88.08
912,MG,277.5,1,39.84,76.29
913,SP,320.8,4,9.93,291.05
914,MG,456.5,2,7.82,120.82
915,RJ,202.2,0,6.11,126.63
916,RJ,626.6,1,63.95,34.6
917,SP,123.8,2,29.62,118.58
918,BA,145.8,0,11.79,100.3
919,RS,266.4,0,19.87,61.41
920,RJ,56.6,0,12.41,195.55
921,MG,303.3,0,19.96,182.01
922,MG,213.1,3,35.35,9.04
923,SP,241.5,2,11.14,113.99
924,BA,75.8,4,9.0,197.22
925,RS,184.2,1,49.48,25.53
926,MG,299.4,0,18.61,77.06
927,SP,326.6,1,41.75,200.34
928,RJ,242.9,1,9.02,86.09
929,SP,346.5,3,19.03,71.73
930,RS,690.5,1,14.56,114.05
931,RS,207.3,3,1.89,24.3
932,RJ,95.8,3,8.62,113.66
933,RJ,696.4,1,12.68,76.12
934,RS,129.0,0,16.74,54.78
935,SP,452.6,0,16.96,53.55
936,BA,295.1,0,7.76,108.11
937,RS,130.2,1,14.63,119.25
938,MG,358.9,0,15.27,30.13
939,BA,619.8,0,26.17,105.12
940,BA,30.5,1,26.32,27.93
941,RS,278.3,4,26.05,201.49
942,SP,245.7,2,6.44,139.6
943,BA,527.0,1,2.72,94.75
944,RJ,355.2,1,17.28,78.69
945,RS,101.1,0,6.84,72.06
946,RS,26.8,1,10.65,167.15
947,RJ,304.9,3,21.32,159.79
948,MG,363.2,2,12.05,63.49
949,MG,176.3,1,26.94,198.99
950,MG,205.8,2,12.5,139.11
951,RS,111.3,0,17.41,78.39
952,BA,344.4,0,7.46,140.04
953,BA,237.0,1,6.19,64.76
954,BA,351.6,1,24.11,317.38
955,RJ,190.6,0,9.94,171.33
956,MG,133.9,1,26.02,167.38
957,RJ,152.6,1,36.21,170.72
958,MG,609.7,1,8.6,37.43
959,SP,459.4,1,25.51,113.74
960,SP,408.4,2,6.74,78.9
961,RJ,463.1,0,22.54,219.39
962,RJ,206.6,4,46.49,100.74
963,BA,230.9,0,15.82,106.21
964,RJ,86.9,0,13.3,352.96
965,RJ,344.0,0,23.67,248.47
966,MG,446.8,2,25.52,165.35
967,MG,183.4,1,8.12,207.03
968,RS,598.9,1,8.87,212.56
969,MG,122.3,4,33.4,130.73
970,RJ,216.2,7,6.52,282.9
971,RJ,257.1,3,30.03,99.82
972,MG,434.2,2,19.58,76.01
973,RS,467.2,2,21.43,79.0
974,RJ,141.1,1,16.57,28.36
975,RJ,393.0,1,18.81,73.25
976,MG,975.8,1,9.45,124.95
977,BA,163.7,3,1.76,106.44
978,RS,367.5,1,11.57,108.17
979,RJ,207.7,1,29.85,65.29
980,RS,384.9,3,82.83,78.98
981,RS,198.3,0,7.23,310.52
982,RJ,386.6,1,24.97,176.6
983,RJ,143.1,2,39.78,82.35
984,RJ,267.3,2,29.61,164.73
985,RJ,342.7,1,28.75,49.31
986,RS,243.4,2,14.37,123.47
987,RJ,160.7,0,8.59,184.43
988,MG,551.4,1,19.82,43.43
989,RS,187.5,1,9.62,318.81
990,BA,430.0,1,29.87,257.19
991,SP,203.2,1,14.69,174.36
992,SP,309.8,3,20.54,73.5
993,RJ,287.0,2,29.19,181.85
994,RS,193.5,1,14.38,122.96
995,RJ,243.7,1,20.89,132.37
996,RJ,98.5,3,17.32,402.72
997,MG,206.5,2,2.08,98.35
998,MG,220.7,1,28.75,65.5
999,SP,243.4,1,10.08,56.26
1000,SP,140.1,2,2.48,50.57
1001,RS,152.0,1,9.2,51.63
1002,MG,54.0,1,10.71,244.0
1003,RJ,417.3,4,18.57,128.96
1004,RS,154.3,0,30.22,55.66
1005,MG,116.8,3,11.29,160.62
1006,RS,39.5,0,14.95,86.91
1007,SP,156.6,1,14.58,70.72
1008,MG,393.1,0,14.57,63.44
1009,RS,562.6,2,2.86,231.91
1010,BA,46.9,2,21.28,27.57
1011,BA,544.7,0,35.27,117.35
1012,MG,156.9,1,47.89,212.3
1013,RS,112.6,0,6.7,253.82
1014,RJ,227.9,3,34.43,149.08
1015,BA,211.9,0,13.39,378.61
1016,MG,386.7,2,28.4,121.45
1017,RJ,206.8,1,4.02,160.97
1018,RJ,203.3,1,8.05,135.65
1019,MG,239.3,2,13.28,158.72
1020,RJ,322.5,2,3.72,178.78
1021,MG,469.6,0,3.23,152.22
1022,BA,249.3,1,3.01,83.03
1023,RS,332.9,0,16.84,33.45
1024,BA,397.1,1,13.27,203.0
1025,MG,342.4,1,37.84,185.03
1026,SP,255.3,0,14.33,123.71
1027,SP,141.8,3,4.67,162.6
1028,BA,170.1,2,2.72,325.51
1029,MG,149.3,0,13.97,85.37
1030,RS,542.1,3,46.8,122.88
1031,MG,72.8,1,33.87,92.79
1032,MG,429.0,1,20.54,148.93
1033,RJ,444.2,2,8.94,105.41
1034,SP,308.6,2,18.21,65.22
1035,SP,173.2,1,9.85,90.02
1036,BA,250.7,1,11.05,95.56
1037,MG,308.9,0,19.61,85.75
1038,RJ,251.2,2,10.32,251.43
1039,RJ,72.4,2,9.44,54.61
1040,BA,141.9,1,10.32,29.48
1041,RJ,203.3,1,39.24,23.58
1042,RJ,134.5,2,7.97,158.8
1043,RJ,285.4,1,20.01,164.02
1044,BA,244.1,1,15.93,155.41
1045,RS,591.1,0,50.61,144.66
1046,RJ,188.5,3,3.75,235.28
1047,RJ,213.9,2,14.6,101.44
1048,MG,550.9,1,17.35,212.04
1049,SP,388.1,3,10.52,43.99
1050,MG,125.0,2,9.63,53.99
1051,RS,359.3,2,34.32,38.86
1052,BA,135.9,1,26.15,153.04
1053,SP,309.1,0,13.39,170.28
1054,RJ,761.8,6,34.92,154.05
1055,SP,208.9,3,25.73,60.14
1056,RS,404.0,3,9.52,206.69
1057,RJ,339.5,0,15.3,105.44
1058,RJ,532.1,1,1.46,118.64
1059,RS,177.8,3,15.5,48.86
1060,RJ,257.6,2,23.09,48.58
1061,RJ,353.1,2,20.36,105.29
1062,RJ,202.0,2,19.93,120.98
1063,RJ,172.4,1,11.88,26.27
1064,SP,290.9,0,29.79,197.69
1065,BA,377.7,2,14.39,227.94
1066,MG,337.3,4,10.92,177.37
1067,RS,146.0,0,7.7,42.72
1068,BA,282.0,0,17.84,51.66
1069,RJ,262.4,2,16.99,119.05
1070,BA,492.3,1,13.74,102.41
1071,RS,158.4,0,20.33,123.18
1072,SP,198.9,0,14.33,47.92
1073,SP,565.1,3,21.66,199.35
1074,SP,205.2,0,11.8,101.05
1075,SP,136.1,2,9.64,198.06
1076,RJ,188.2,0,16.92,84.82
1077,BA,182.4,2,14.03,136.48
1078,BA,180.3,3,20.52,203.51
1079,RJ,535.9,2,23.37,140.6
1080,MG,158.4,2,15.66,182.59
1081,BA,89.3,1,9.3,204.9
1082,RS,479.8,1,30.06,116.91
1083,RJ,275.2,2,7.63,254.0
1084,BA,326.0,1,8.64,80.73
1085,MG,276.2,0,32.13,63.53
1086,BA,319.6,1,20.58,111.71
1087,RS,349.4,0,11.92,52.66
1088,BA,283.7,4,7.71,34.9
1089,RJ,85.5,1,13.78,136.7
1090,BA,253.1,0,9.61,69.1
1091,SP,132.8,0,4.39,103.36
1092,RJ,290.0,2,36.96,129.47
1093,RJ,255.0,3,24.03,88.16
1094,RJ,505.6,1,12.19,142.93
1095,RS,138.9,2,7.43,229.33
1096,MG,131.0,2,26.28,119.2
1097,SP,126.6,1,20.05,61.67
1098,MG,332.8,1,3.36,300.52
1099,SP,121.3,1,10.87,265.26
1100,SP,126.8,2,32.09,54.1
1101,RJ,357.5,2,20.38,75.71
1102,MG,110.2,1,10.07,48.02
1103,RJ,81.1,0,2.38,184.67
1104,BA,126.3,0,27.47,132.15
1105,MG,257.0,2,4.86,130.99
1106,SP,95.2,2,9.65,36.42
1107,RS,243.3,2,21.31,81.72
1108,SP,152.5,2,14.19,149.58
1109,RJ,389.9,3,5.56,217.45
1110,SP,212.4,0,29.87,93.97
1111,RS,600.7,1,6.07,78.39
1112,RJ,224.4,3,14.43,95.67
1113,RS,141.8,1,6.48,68.82
1114,RS,248.5,1,7.98,156.38
1115,RJ,209.0,1,10.04,77.41
1116,SP,169.9,3,3.39,128.2
1117,SP,758.4,1,1.49,291.43
1118,SP,471.8,2,10.56,166.36
1119,MG,420.6,2,4.73,106.64
1120,SP,424.2,1,10.28,201.93
1121,RS,130.1,3,29.85,240.58
1122,MG,170.5,1,14.37,164.93
1123,RS,108.8,3,13.56,239.51
1124,SP,431.7,2,14.43,185.53
1125,SP,600.2,1,8.33,74.12
1126,MG,188.9,1,8.25,127.81
1127,SP,230.0,0,8.2,319.32
1128,SP,188.4,1,41.29,142.22
1129,SP,294.6,0,55.28,135.5
1130,RJ,261.6,2,7.63,97.57
1131,BA,288.0,0,35.43,96.75
1132,BA,320.3,1,14.53,129.27
1133,MG,262.1,1,16.89,53.99
1134,SP,208.5,1,83.52,91.28
1135,MG,476.6,4,9.39,122.71
1136,BA,307.3,0,13.9,163.13
1137,SP,147.9,1,21.26,34.23
1138,MG,507.4,1,39.23,96.81
1139,RS,232.0,1,5.12,224.68
1140,MG,394.4,0,1.82,177.07
1141,MG,232.6,0,18.35,86.79
1142,RS,583.0,1,9.21,102.69
1143,BA,583.5,0,8.0,87.76
1144,SP,247.8,1,8.04,103.19
1145,BA,222.3,0,7.96,153.51
1146,RS,202.7,0,7.08,139.88
1147,RJ,323.3,2,38.09,107.42
1148,RS,333.5,2,15.06,119.97
1149,MG,60.7,1,2.73,207.0
1150,BA,132.8,1,2.39,188.06
1151,RJ,501.8,2,12.04,169.5
1152,SP,269.1,2,11.85,64.4
1153,SP,55.5,0,0.38,137.41
1154,BA,245.1,2,17.12,131.53
1155,RS,148.8,2,7.47,55.27
1156,BA,186.6,2,14.34,50.69
1157,RJ,127.5,4,32.0,160.93
1158,BA,187.8,1,17.0,186.73
1159,RS,116.7,0,8.98,66.04
1160,RJ,175.7,1,6.62,78.79
1161,SP,139.0,3,5.11,256.52
1162,RS,387.6,3,29.53,96.46
1163,SP,193.7,2,13.7,78.12
1164,RS,273.0,1,22.72,113.53
1165,SP,160.2,1,12.89,296.04
1166,SP,363.4,1,20.17,131.85
1167,RJ,268.9,1,12.15,81.93
1168,RJ,177.4,4,7.37,41.67
1169,RJ,425.1,0,4.36,68.54
1170,SP,212.9,3,59.82,118.31
1171,RS,777.8,2,40.36,75.89
1172,RS,274.1,3,11.56,249.88
1173,BA,262.7,1,16.35,83.66
1174,RS,266.3,0,7.93,31.03
1175,RS,482.2,1,6.65,28.0
1176,RS,270.2,0,14.09,153.26
1177,RJ,185.4,1,6.81,58.13
1178,BA,109.1,0,10.3,131.36
1179,BA,587.2,1,12.6,104.63
1180,BA,480.6,0,58.86,131.43
1181,BA,539.8,1,7.56,358.12
1182,BA,232.3,1,14.51,179.16
1183,RJ,114.4,1,12.02,90.08
1184,MG,283.8,0,7.31,104.62
1185,SP,132.9,2,67.32,189.84
1186,RS,178.1,1,15.49,55.83
1187,RS,468.6,3,10.27,322.31
1188,BA,173.1,0,19.8,90.16
1189,BA,104.8,5,47.44,122.51
1190,RJ,253.3,1,12.42,266.03
1191,RJ,69.9,3,22.84,45.83
1192,MG,324.6,1,6.65,316.54
1193,RJ,128.2,1,31.24,63.03
1194,SP,490.3,1,6.68,96.81
1195,RJ,91.2,2,6.91,132.62
1196,BA,104.0,2,14.53,56.91
1197,RJ,179.6,1,6.64,165.41
1198,BA,101.1,2,47.62,158.01
1199,MG,218.0,3,11.47,94.62
1200,MG,320.0,1,4.0,38.4
1201,BA,205.6,1,3.03,137.5
1202,RS,310.2,3,5.25,75.5
1203,RS,263.1,1,17.75,34.74
1204,BA,233.0,1,20.09,64.1
1205,SP,129.0,2,40.47,48.95
1206,RJ,198.5,1,21.8,70.99
1207,MG,404.2,4,13.78,62.37
1208,SP,391.9,1,24.07,88.83
1209,MG,331.8,0,24.97,211.06
1210,SP,139.7,0,22.25,131.38
1211,MG,465.7,1,40.9,131.87
1212,SP,149.3,0,9.65,188.75
1213,RJ,242.0,4,14.49,124.55
1214,RJ,575.9,0,12.06,130.02
1215,RS,59.0,2,15.42,185.32
1216,MG,241.6,1,39.64,40.22
1217,MG,368.6,2,13.74,72.33
1218,RS,193.1,0,23.56,233.49
1219,SP,63.2,2,3.72,148.95
1220,RJ,388.5,1,6.84,60.0
1221,MG,458.7,1,13.45,50.47
1222,RS,538.6,3,6.7,85.51
1223,BA,115.7,1,23.19,143.94
1224,BA,77.8,1,11.36,154.39
1225,RJ,281.4,2,8.65,190.51
1226,RS,657.0,1,9.95,116.58
1227,SP,206.8,1,25.84,116.07
1228,MG,416.3,3,19.91,46.11
1229,RJ,162.7,3,2.23,96.44
1230,SP,332.3,1,17.92,210.5
1231,SP,366.5,1,1.36,296.56
1232,BA,186.9,0,30.81,74.83
1233,RS,599.6,2,35.14,63.28
1234,RJ,220.7,3,14.83,126.2
1235,SP,620.8,0,5.57,119.76
1236,SP,156.1,0,11.3,52.54
1237,SP,102.6,1,10.53,45.71
1238,BA,60.5,2,26.53,139.69
1239,SP,432.5,1,29.61,40.72
1240,BA,273.7,1,17.68,234.96
1241,BA,186.1,4,6.81,154.58
1242,RJ,149.9,2,44.13,48.06
1243,RJ,174.6,3,21.96,154.98
1244,RJ,485.8,1,4.83,127.41
1245,BA,331.1,1,9.07,92.82
1246,RS,37.9,2,40.85,92.08
1247,BA,91.5,2,6.55,170.0
1248,RJ,76.6,1,25.45,284.68
1249,BA,288.1,0,9.02,64.14
1250,BA,256.0,1,27.59,209.18
1251,MG,395.7,0,13.16,214.02
1252,SP,178.0,1,24.14,77.54
1253,RJ,188.7,1,3.65,150.08
1254,RS,158.4,3,8.95,54.34
1255,MG,357.2,1,20.22,145.28
1256,SP,106.1,1,17.55,90.51
1257,RS,163.1,4,47.88,129.75
1258,MG,53.3,0,15.35,108.2
1259,RJ,366.9,2,8.51,226.85
1260,SP,88.7,1,12.56,124.19
1261,MG,169.4,0,0.88,97.09
1262,MG,227.7,1,10.4,206.07
1263,SP,181.8,1,19.2,223.85
1264,RS,35.6,1,22.7,70.19
1265,MG,319.6,2,24.61,264.0
1266,SP,365.2,1,11.91,157.43
1267,SP,254.0,0,20.62,132.11
1268,RJ,180.8,3,14.81,157.08
1269,BA,224.9,0,6.15,42.18
1270,BA,715.9,3,8.65,160.2
1271,RS,138.2,0,13.52,6.72
1272,BA,123.8,1,6.11,112.47
1273,RS,381.9,0,20.65,108.75
1274,RJ,610.2,0,10.36,145.99
1275,MG,431.8,1,8.94,64.28
1276,BA,240.1,2,9.05,60.97
1277,RJ,610.3,0,46.34,149.94
1278,MG,169.6,5,27.21,366.12
1279,BA,334.9,1,12.83,154.26
1280,RS,63.0,2,16.04,153.33
1281,RS,389.8,0,6.8,81.04
1282,RJ,234.2,0,15.21,149.52
1283,BA,490.1,3,7.19,130.28
1284,BA,24.3,2,13.97,111.56
1285,RS,301.4,1,6.78,214.09
1286,BA,230.5,2,8.31,131.37
1287,RJ,209.8,1,16.05,65.39
1288,BA,277.5,1,17.32,398.3
1289,SP,197.3,3,21.59,99.24
1290,RJ,372.7,2,16.41,222.78
1291,MG,103.2,2,23.4,47.33
1292,BA,316.7,3,36.5,180.85
1293,SP,451.6,1,14.9,97.16
1294,BA,121.9,1,5.4,69.54
1295,SP,665.6,2,24.98,40.5
1296,RJ,231.8,1,11.75,43.63
1297,SP,154.0,1,3.9,249.03
1298,SP,331.0,1,26.21,90.75
1299,RJ,323.8,2,6.7,120.87
1300,RS,291.2,3,30.69,181.37
1301,MG,68.5,0,12.07,74.36
1302,BA,384.4,1,13.13,70.8
1303,RJ,380.6,1,5.35,209.88
1304,RJ,142.0,1,15.2,195.92
1305,RS,603.2,0,1.36,145.99
1306,BA,225.1,2,3.27,44.97
1307,MG,297.5,1,19.66,24.52
1308,RJ,81.5,1,16.78,95.88
1309,RS,319.6,2,7.3,59.36
1310,MG,109.5,1,4.93,143.6
1311,SP,80.3,0,8.85,146.12
1312,RS,260.4,1,5.34,142.11
1313,MG,497.0,2,14.06,141.74
1314,MG,156.5,3,1.28,121.27
1315,RJ,120.6,2,15.36,98.85
1316,RJ,459.1,1,17.46,151.25
1317,BA,419.3,2,7.47,88.08
1318,RJ,237.7,3,21.82,230.66
1319,MG,292.1,1,16.21,294.64
1320,SP,123.9,3,41.3,189.78
1321,RS,101.0,2,16.73,112.93
1322,RJ,92.9,1,5.66,107.64
1323,BA,196.4,1,16.11,74.64
1324,RJ,376.3,1,4.45,55.55
1325,SP,198.2,3,11.93,89.55
1326,SP,245.2,2,3.56,75.8
1327,BA,357.8,1,31.69,90.6
1328,SP,46.7,3,37.85,91.99
1329,BA,408.7,4,9.99,136.91
1330,MG,293.6,0,4.59,67.36
1331,MG,120.9,3,12.45,276.59
1332,RJ,208.8,3,11.61,94.28
1333,RJ,83.2,1,1.71,128.6
1334,BA,335.1,1,16.25,40.01
1335,RS,243.2,1,18.53,314.77
1336,RS,210.8,0,10.92,61.86
1337,BA,101.1,1,6.51,68.0
1338,RJ,305.8,1,15.59,53.49
1339,SP,319.2,2,16.59,190.13
1340,MG,343.7,3,4.71,240.78
1341,MG,79.7,2,21.07,76.56
1342,MG,194.9,2,17.58,269.42
1343,MG,179.7,0,29.55,122.99
1344,SP,389.9,4,14.09,90.98
1345,RJ,369.8,2,26.93,213.4
1346,SP,313.1,1,14.89,300.6
1347,RS,393.6,2,6.64,141.89
1348,RS,249.4,2,32.09,103.86
1349,RS,795.3,3,14.19,238.66
1350,MG,206.9,0,16.96,245.72
1351,RS,235.1,1,32.61,97.22
1352,RS,109.2,3,6.09,171.33
1353,RJ,286.1,0,31.09,62.84
1354,SP,280.1,3,6.5,69.5
1355,RS,452.4,2,35.23,55.46
1356,MG,298.2,1,8.01,68.07
1357,MG,105.4,1,14.62,179.78
1358,RS,245.9,0,31.37,153.37
1359,RS,251.2,3,18.46,113.24
1360,RS,347.7,0,23.58,229.47
1361,SP,255.3,1,19.19,55.46
1362,SP,178.1,3,15.23,151.42
1363,MG,258.6,1,16.31,301.67
1364,MG,264.7,0,13.85,182.2
1365,RJ,122.7,1,11.64,61.84
1366,RJ,144.0,0,6.44,267.07
1367,MG,256.1,5,13.31,245.42
1368,BA,424.8,0,38.53,119.6
1369,BA,267.2,2,6.1,156.25
1370,SP,236.9,2,29.02,62.24
1371,RJ,315.2,2,33.54,122.25
1372,RJ,249.7,3,10.3,5.92
1373,RJ,80.9,1,6.55,119.92
1374,RS,174.3,1,8.64,231.22
1375,MG,459.5,1,25.77,168.26
1376,MG,259.4,1,9.24,198.75
1377,RS,116.8,2,19.6,241.98
1378,MG,263.4,1,10.01,75.83
1379,BA,223.7,2,35.14,203.25
1380,RS,716.3,1,34.08,65.83
1381,RS,134.3,1,12.28,43.34
1382,RJ,342.1,1,8.91,98.34
1383,MG,461.4,0,35.12,85.47
1384,SP,347.5,2,4.13,197.59
1385,BA,118.4,0,18.21,174.57
1386,RJ,264.4,0,15.48,121.37
1387,SP,144.4,1,9.53,67.56
1388,SP,189.7,2,19.62,167.79
1389,SP,349.6,1,13.82,36.03
1390,SP,78.3,3,22.82,100.77
1391,SP,406.0,2,4.93,40.17
1392,MG,564.7,2,23.06,106.91
1393,RJ,373.3,2,21.08,87.07
1394,RS,199.8,1,5.9,109.55
1395,MG,595.9,2,32.58,93.47
1396,MG,301.2,1,17.46,175.6
1397,MG,70.1,2,8.2,165.94
1398,BA,132.4,1,10.67,112.5
1399,BA,291.2,2,27.36,86.37
1400,RJ,263.4,1,3.9,111.01
1401,BA,330.7,0,21.76,82.63
1402,MG,318.7,4,26.36,103.24
1403,BA,148.4,1,58.02,213.27
1404,BA,188.0,2,8.1,98.24
1405,BA,295.0,0,8.61,188.93
1406,MG,639.4,1,5.38,72.12
1407,SP,423.7,3,26.63,134.71
1408,RS,494.6,0,20.06,30.62
1409,RS,357.1,3,58.84,95.5
1410,MG,221.5,3,25.94,85.42
1411,MG,173.1,4,21.54,183.38
1412,SP,100.4,4,7.71,307.21
1413,MG,236.8,2,38.57,129.26
1414,MG,293.3,0,5.94,50.16
1415,BA,163.1,1,24.99,406.86
1416,MG,72.7,3,2.46,74.13
1417,SP,52.9,2,4.25,132.63
1418,SP,59.2,3,22.41,75.57
1419,MG,529.2,2,32.72,66.33
1420,BA,568.1,2,10.01,24.77
1421,RS,407.5,1,10.76,83.03
1422,RS,343.6,1,7.71,159.85
1423,MG,325.6,2,5.55,66.02
1424,SP,95.2,0,15.01,118.96
1425,RS,766.7,3,33.7,120.84
1426,MG,237.3,1,9.38,47.36
1427,RS,262.0,2,38.94,187.6
1428,BA,185.7,1,12.05,95.19
1429,RJ,87.2,4,19.36,282.8
1430,MG,287.6,1,13.57,139.13
